Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
224 LOGGERHEAD RD,5009439025,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1843,2024,10,539225,292.58,550500,298.70
168 PAULINE BOUTAL CRES,6002473400,RESSD - Detached SIngle Dwelling,CO-Cabover,2002,1534,2023,8,505099,329.27,546000,355.93
2 MYLES ROBINSON WAY,6002900000,RESSD - Detached SIngle Dwelling,OS-One Storey,1992,1626,2024,7,711000,437.27,735200,452.15
274 CHARBONNEAU CRES,6003919500,RESSD - Detached SIngle Dwelling,TS-Two Storey,1985,1616,2023,6,600000,371.29,654000,404.70
15 QUAYSIDE COVE,6003967600,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1989,808,2024,4,380000,470.30,397500,491.96
62 QUAYSIDE COVE,6003983000,RESSD - Detached SIngle Dwelling,OS-One Storey,1988,980,2023,12,380000,387.76,404300,412.55
16 DE CAIGNY COVE,6004025600,RESSD - Detached SIngle Dwelling,TS-Two Storey,1992,2266,2023,8,731000,322.59,790200,348.72
11 GULL WING BAY,6004073400,RESSD - Detached SIngle Dwelling,TS-Two Storey,1998,1803,2023,11,620000,343.87,662200,367.28
133 CLEARWATER RD,6006098000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1966,1078,2023,8,415000,384.97,448600,416.14
84 FALLBROOK BAY,6006738000,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1202,2023,9,335000,278.70,360800,300.17
117 WEATHERSTONE PL,6006767500,RESSS - Side By Side,TS-Two Storey,1968,1142,2024,5,332000,290.72,345900,302.89
175 BLUEWATER CRES,6006923500,RESSS - Side By Side,OS-One Storey,1971,754,2025,3,290000,384.62,290000,384.62
184 BLUEWATER CRES,6006940600,RESSS - Side By Side,OS-One Storey,1971,850,2024,5,337500,397.06,351700,413.76
31 FARNHAM RD,6006972000,RESSD - Detached SIngle Dwelling,OS-One Storey,1971,972,2024,8,285000,293.21,293300,301.75
30 GROVER HILLS LANE,6007390000,RESSD - Detached SIngle Dwelling,OS-One Storey,1972,1204,2024,9,507000,421.10,519700,431.64
7 RADBURN PL,6007466000,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1973,1809,2024,9,570000,315.09,584300,323.00
120 SWEETWATER BAY,6007669800,RESSD - Detached SIngle Dwelling,TS-Two Storey,1975,2277,2024,8,849900,373.25,874500,384.06
